exp,Hit@1,Hit@3,Hit@5,MRR,Redundancy,BLEU,BERTScore_F1
Sentence_chunk_size_1024_chunk_overlap_50,0.0000,0.0000,0.0000,0.0000,0.3170,0.0080,0.4296
SentenceWindow_window_size_3,0.0000,0.0000,0.0000,0.0000,0.5648,0.0112,0.4297
Token_chunk_size_128_chunk_overlap_40,0.0000,0.0000,0.0000,0.0000,0.3229,0.0114,0.4013
Token_chunk_size_512_chunk_overlap_20,0.0000,0.0000,0.0000,0.0000,0.3125,0.0083,0.4023
Token_chunk_size_256_chunk_overlap_40,0.0000,0.0000,0.0000,0.0000,0.3308,0.0108,0.4127
SentenceWindow_window_size_5,0.0000,0.0000,0.0000,0.0000,0.6349,0.0111,0.4200
Sentence_chunk_size_256_chunk_overlap_100,0.0000,0.0556,0.0556,0.0278,0.4230,0.0109,0.3944
Token_chunk_size_512_chunk_overlap_40,0.0000,0.0000,0.0000,0.0000,0.3209,0.0051,0.4096
Token_chunk_size_128_chunk_overlap_20,0.0000,0.0000,0.0000,0.0000,0.2853,0.0076,0.3771
Token_chunk_size_256_chunk_overlap_20,0.0000,0.0000,0.0000,0.0000,0.3056,0.0111,0.4072
Token_chunk_size_512_chunk_overlap_80,0.0000,0.0000,0.0000,0.0000,0.3417,0.0051,0.4041
Token_chunk_size_256_chunk_overlap_80,0.0000,0.0000,0.0000,0.0000,0.3625,0.0067,0.4030
Sentence_chunk_size_1024_chunk_overlap_100,0.0000,0.0000,0.0556,0.0139,0.3269,0.0083,0.3907
Sentence_chunk_size_512_chunk_overlap_100,0.0000,0.0556,0.0556,0.0185,0.3738,0.0060,0.3990
Sentence_chunk_size_1024_chunk_overlap_0,0.0000,0.0000,0.0000,0.0000,0.3170,0.0080,0.3759
Sentence_chunk_size_512_chunk_overlap_50,0.0000,0.0556,0.0556,0.0278,0.3513,0.0080,0.3828
Sentence_chunk_size_512_chunk_overlap_0,0.0000,0.0556,0.0556,0.0278,0.3402,0.0051,0.3706
SentenceWindow_window_size_1,0.0000,0.0000,0.0000,0.0000,0.4040,0.0138,0.4156
Sentence_chunk_size_256_chunk_overlap_0,0.0556,0.0556,0.0556,0.0556,0.3393,0.0068,0.4233
Sentence_chunk_size_256_chunk_overlap_50,0.0000,0.0000,0.0000,0.0000,0.3803,0.0105,0.4100
